,date,time,Flare Flag,1-7 GHz,7-13 GHz,13-18 GHz,Mean,Sigma,Threshold,Count
0,2024-04-03,20:10:26.168000,201026.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-04-03,20:10:27.221000,201027.221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2024-04-03,20:10:28.329000,201028.329,20170.7637,5162.80225,2818.89331,2818.89331,7946159.5,0.0,1.0
3,2024-04-03,20:10:29.424000,201029.424,20634.8633,5240.82715,2694.23706,2756.56519,88.1476059,0.0,2.0
4,2024-04-03,20:10:30.478000,201030.478,20896.9902,5394.31543,2827.20923,2780.11328,74.4781876,0.0,3.0
5,2024-04-03,20:10:31.587000,201031.587,21904.3516,5559.20654,2733.16357,2768.37598,65.1817932,0.0,4.0
6,2024-04-03,20:10:32.154000,201032.154,22047.8418,5955.26953,2876.1123,2789.92334,74.2159042,0.0,5.0
7,2024-04-03,20:10:33.208000,201033.208,22988.168,7261.33447,2773.96265,2787.26294,66.711319,0.0,6.0
8,2024-04-03,20:10:34.319000,201034.319,28849.8633,6311.40723,2844.92822,2795.50073,64.6838455,0.0,7.0
9,2024-04-03,20:10:35.425000,201035.425,24883.4492,6177.93408,2740.84326,2788.6687,62.9194489,0.0,8.0
10,2024-04-03,20:10:36.478000,201036.478,28413.1562,6421.23145,2812.52515,2791.31934,59.3969688,0.0,9.0
11,2024-04-03,20:10:37.543000,201037.543,33763.2383,6732.49463,2813.21704,2793.50928,56.41119,2962.74292,10.0
12,2024-04-03,20:10:38.154000,201038.154,41037.0117,8189.60254,3015.41406,2813.68237,85.6784668,3070.71777,11.0
13,2024-04-03,20:10:39.208000,201039.208,46616.5195,9487.20605,3123.1792,2839.47363,121.064972,3202.66846,12.0
14,2024-04-03,20:10:40.261000,201040.261,47349.6328,9445.37207,3161.16162,2864.21875,146.275986,3303.04663,13.0
15,2024-04-03,20:10:41.371000,201041.371,48570.0664,9384.69141,3168.21631,2885.93286,162.3311,3372.92627,14.0
16,2024-04-03,20:10:42.424000,201042.424,47439.8242,9504.08594,3208.8103,2907.45776,177.258484,3439.23315,15.0
17,2024-04-03,20:10:43.532000,201043.532,48732.9336,9641.86523,3232.49487,2927.77271,189.548233,3496.41748,16.0
18,2024-04-03,20:10:44.639000,201044.639,48316.918,9621.76465,3283.73804,2948.71191,202.820114,3557.17236,17.0
19,2024-04-03,20:10:45.154000,201045.154,48642.25,9771.88867,3242.15112,2965.01416,208.562592,3590.7019,18.0
20,2024-04-03,20:10:46.262000,201046.262,48379.2031,9748.7334,3291.78076,2982.2124,216.106964,3630.5332,19.0
21,2024-04-03,20:10:47.316000,201047.316,48499.7539,9721.85156,3265.37817,2996.37061,219.666733,3655.37085,20.0
22,2024-04-03,20:10:48.424000,201048.424,48592.1953,9704.50098,3295.43579,3010.61206,223.826721,3682.09229,21.0
23,2024-04-03,20:10:49.478000,201049.478,49240.7734,9737.06445,3266.13721,3022.22681,225.123047,3697.59595,22.0
24,2024-04-03,20:10:50.586000,201050.586,49065.7734,9782.22852,3253.72705,3032.29224,225.180328,3707.83325,23.0
25,2024-04-03,20:10:51.154000,201051.154,49260.1875,9772.10547,3262.04175,3041.86499,225.169312,3717.37305,24.0
26,2024-04-03,20:10:52.209000,201052.209,48743.9883,9793.17969,3268.3855,3050.92554,225.039261,3726.04346,25.0
27,2024-04-03,20:10:53.317000,201053.317,48720.2148,9822.85352,3258.10913,3058.89429,224.205627,3731.51123,26.0
28,2024-04-03,20:10:54.370000,201054.37,47376.2109,9455.31836,3198.11597,3064.05054,221.478943,3728.4873,27.0
29,2024-04-03,20:10:55.478000,201055.478,47807.8203,9506.13477,3188.67578,3068.50171,218.60704,3724.32275,28.0
30,2024-04-03,20:10:56.532000,201056.532,47427.5703,9534.52832,3193.7207,3072.81958,215.923264,3720.58936,29.0
31,2024-04-03,20:10:57.640000,201057.64,46583.1406,8981.24902,2971.3833,3069.43823,212.977585,3708.37109,30.0
32,2024-04-03,20:10:58.154000,201058.154,46971.4688,8982.66406,2962.98975,3066.00464,210.264587,3696.79834,31.0
33,2024-04-03,20:10:59.261000,201059.261,46817.7227,8979.61133,2953.21753,3062.47998,207.803879,3685.8916,32.0
34,2024-04-03,20:11:00.320000,201100.32,47752.1914,8982.73145,2990.45239,3060.29736,204.917053,3675.04858,33.0
35,2024-04-03,20:11:01.428000,201101.428,47313.1562,9039.06934,2963.26318,3057.44336,202.472,3664.85938,34.0
36,2024-04-03,20:11:02.478000,201102.478,47740.7383,9168.66113,3034.06592,3056.77539,199.514709,3655.31958,35.0
37,2024-04-03,20:11:03.592000,201103.592,46657.0156,9409.02832,3015.10913,3055.61816,196.764694,3645.91211,36.0
38,2024-04-03,20:11:04.155000,201104.155,47497.6406,9210.27441,3036.31714,3055.09644,194.040085,3637.2168,37.0
39,2024-04-03,20:11:05.208000,201105.208,46932.0664,9194.50879,3024.36377,3054.28784,191.463211,3628.67749,38.0
40,2024-04-03,20:11:06.261000,201106.261,47715.1016,9239.75684,3055.94727,3054.33032,188.92717,3621.11182,39.0
41,2024-04-03,20:11:07.370000,201107.37,46893.25,9129.03906,3039.36963,3053.9563,186.504684,3613.47021,40.0
42,2024-04-03,20:11:08.424000,201108.424,47598.582,9138.88672,3021.27295,3053.15918,184.228119,3605.84351,41.0
43,2024-04-03,20:11:09.532000,201109.532,48168.4688,9178.65137,2988.95337,3051.63037,182.239716,3598.34961,42.0
44,2024-04-03,20:11:10.586000,201110.586,47969.9961,9133.99414,3044.40649,3051.46265,180.057129,3591.63403,43.0
45,2024-04-03,20:11:11.154000,201111.154,46717.3555,9151.87402,3025.52515,3050.87329,177.98877,3584.8396,44.0
46,2024-04-03,20:11:12.262000,201112.262,46958.9258,9187.83594,3037.71069,3050.58057,175.969009,3578.48755,45.0
47,2024-04-03,20:11:13.317000,201113.317,47130.0977,9209.3623,3025.29224,3050.03101,174.041626,3572.15576,46.0
48,2024-04-03,20:11:14.382000,201114.382,47560.8828,9204.43652,3038.16797,3049.77856,172.147568,3566.22119,47.0
49,2024-04-03,20:11:15.490000,201115.49,47346.0078,9163.22559,3026.55176,3049.29468,170.340332,3560.31567,48.0
50,2024-04-03,20:11:16.599000,201116.599,47529.3555,9185.28027,3051.35742,3049.33667,168.558594,3555.01245,49.0
51,2024-04-03,20:11:17.154000,201117.154,47656.6758,9126.20215,3016.69507,3048.68384,166.894318,3549.3667,50.0
52,2024-04-03,20:11:18.209000,201118.209,47176.0234,9180.03418,3057.90112,3048.8645,165.220825,3544.52686,51.0
53,2024-04-03,20:11:19.261000,201119.261,48366.8008,9259.70508,3037.85474,3048.65283,163.600662,3539.45483,52.0
54,2024-04-03,20:11:20.370000,201120.37,47801.5664,9152.67676,3050.04077,3048.6792,162.016144,3534.72754,53.0
55,2024-04-03,20:11:21.856000,201121.856,47297.5391,9235.08203,3045.79883,3048.62598,160.480408,3530.06714,54.0
56,2024-04-03,20:11:22.424000,201122.424,46967.6836,9220.53418,3040.3584,3048.47559,158.993134,3525.45508,55.0
57,2024-04-03,20:11:23.154000,201123.154,47060.1367,9192.47754,3019.24512,3047.95361,157.589111,3520.72095,56.0
58,2024-04-03,20:11:24.208000,201124.208,47119.9375,9207.80566,3043.92334,3047.88306,156.173889,3516.40479,57.0
59,2024-04-03,20:11:25.316000,201125.316,47439.8594,9219.36133,3021.06641,3047.42041,154.843216,3511.9502,58.0
60,2024-04-03,20:11:26.586000,201126.586,47223.3008,9166.01855,3060.92651,3047.64941,153.50975,3508.17871,59.0
61,2024-04-03,20:11:27.153000,201127.153,47625.4688,9228.52637,3040.91284,3047.53687,152.213943,3504.17871,60.0
62,2024-04-03,20:11:28.208000,201128.208,47292.4648,9228.00293,3067.73755,3047.86816,150.95784,3500.7417,61.0
63,2024-04-03,20:11:29.316000,201129.316,46767.4688,9137.4375,3023.99097,3047.48291,149.750397,3496.73413,62.0
64,2024-04-03,20:11:30.586000,201130.586,47385.7461,9193.93066,3051.88647,3047.55273,148.534348,3493.15576,63.0
65,2024-04-03,20:11:31.154000,201131.154,46796.4844,9284.03027,3010.92676,3046.98047,147.423157,3489.25,64.0
66,2024-04-03,20:11:32.208000,201132.208,48018.7422,9254.38672,3039.77026,3046.86938,146.273712,3485.69043,65.0
67,2024-04-03,20:11:33.316000,201133.316,46962.3867,9170.64941,3024.91602,3046.53687,145.167908,3482.04053,66.0
68,2024-04-03,20:11:34.372000,201134.372,47582.9961,9181.83887,3055.83057,3046.67554,144.067322,3478.87744,67.0
69,2024-04-03,20:11:35.477000,201135.477,46811.2188,9225.44824,3011.09131,3046.15234,143.054947,3475.31714,68.0
70,2024-04-03,20:11:36.532000,201136.532,47533.4648,9159.75,3079.55542,3046.63647,142.052185,3472.79297,69.0
71,2024-04-03,20:11:37.154000,201137.154,46999.6406,9244.32031,3020.81299,3046.26758,141.055237,3469.43335,70.0
72,2024-04-03,20:11:38.208000,201138.208,47332.9492,9229.68555,3046.09937,3046.26514,140.044083,3466.39746,71.0
73,2024-04-03,20:11:39.261000,201139.261,46748.5156,9216.30957,3006.51929,3045.71313,139.135361,3463.11914,72.0
74,2024-04-03,20:11:40.370000,201140.37,47203.2266,9203.0625,3033.06982,3045.53979,138.172195,3460.0564,73.0
75,2024-04-03,20:11:41.424000,201141.424,47104.3867,9199.05957,3004.59204,3044.98657,137.305573,3456.90332,74.0
76,2024-04-03,20:11:42.532000,201142.532,47175.8125,9183.20703,3057.48364,3045.15308,136.38736,3454.31519,75.0
77,2024-04-03,20:11:43.586000,201143.586,47109.543,9145.15137,3018.02148,3044.79614,135.506561,3451.31592,76.0
78,2024-04-03,20:11:44.154000,201144.154,47393.4023,9212.00488,3052.46899,3044.89575,134.618362,3448.75098,77.0
79,2024-04-03,20:11:45.208000,201145.208,47532.332,9222.94043,3041.98389,3044.8584,133.741364,3446.08252,78.0
80,2024-04-03,20:11:46.316000,201146.316,47542.6523,9197.08984,3035.22998,3044.73657,132.884369,3443.38965,79.0
81,2024-04-03,20:11:47.424000,201147.424,49011.6797,9535.12402,3030.92505,3044.56396,132.04985,3440.71338,80.0
82,2024-04-03,20:11:48.478000,201148.478,47165.9062,9163.86621,3072.74536,3044.91187,131.261566,3438.69653,81.0
83,2024-04-03,20:11:49.586000,201149.586,47251.6719,9224.10059,3013.93677,3044.53418,130.494217,3436.01685,82.0
84,2024-04-03,20:11:50.154000,201150.154,47289.8516,9156.46387,3023.11353,3044.27588,129.717148,3433.42725,83.0
85,2024-04-03,20:11:51.208000,201151.208,47402.832,9140.80957,3018.64673,3043.9707,128.969223,3430.87842,84.0
86,2024-04-03,20:11:52.261000,201152.261,47541.7812,9092.22656,3074.35156,3044.32837,128.237885,3429.04199,85.0
87,2024-04-03,20:11:53.370000,201153.37,47987.5273,9153.50684,3026.11987,3044.1167,127.493111,3426.59595,86.0
88,2024-04-03,20:11:54.478000,201154.478,48625.0312,9160.0625,3054.56787,3044.23682,126.75264,3424.49463,87.0
89,2024-04-03,20:11:55.532000,201155.532,48115.293,9154.58594,3001.92163,3043.75562,126.112518,3422.09326,88.0
90,2024-04-03,20:11:56.154000,201156.154,47088.2891,9185.33594,3027.77979,3043.57617,125.402626,3419.78418,89.0
91,2024-04-03,20:11:57.208000,201157.208,48094.5508,8848.625,2896.95312,3041.94727,125.644051,3418.87939,90.0
92,2024-04-03,20:11:58.262000,201158.262,47095.1094,8889.11035,2920.71118,3040.61499,125.585564,3417.37158,91.0
