,time_tag,satellite,flux,observed_flux,electron_correction,electron_contaminaton,energy
0,2023-05-16 16:00:00+00:00,16,2.367071338937876e-08,3.23979278959996e-08,8.72721361844242e-09,False,0.05-0.4nm
1,2023-05-16 16:01:00+00:00,16,2.285156774917141e-08,3.210414334375855e-08,9.252575594587142e-09,False,0.05-0.4nm
2,2023-05-16 16:02:00+00:00,16,2.3336616195024362e-08,3.1714467496613e-08,8.377853077945474e-09,False,0.05-0.4nm
3,2023-05-16 16:03:00+00:00,16,2.509269592110286e-08,3.3707284075035204e-08,8.614588153932345e-09,False,0.05-0.4nm
4,2023-05-16 16:04:00+00:00,16,2.411931987467142e-08,3.3399572885173257e-08,9.280253010501838e-09,False,0.05-0.4nm
5,2023-05-16 16:05:00+00:00,16,2.3466077081479852e-08,3.2555337980966215e-08,9.089260899486362e-09,False,0.05-0.4nm
6,2023-05-16 16:06:00+00:00,16,2.2689063072789395e-08,3.215980015625064e-08,9.470737971639664e-09,False,0.05-0.4nm
7,2023-05-16 16:07:00+00:00,16,2.3926126857531926e-08,3.3168433333230496e-08,9.24230736387699e-09,False,0.05-0.4nm
8,2023-05-16 16:08:00+00:00,16,2.456338066281205e-08,3.363485134855182e-08,9.071472462096608e-09,False,0.05-0.4nm
9,2023-05-16 16:09:00+00:00,16,2.4297543532725285e-08,3.312885255013498e-08,8.831309017409694e-09,False,0.05-0.4nm
10,2023-05-16 16:10:00+00:00,16,2.5727874941594564e-08,3.437095230651721e-08,8.643077364922647e-09,False,0.05-0.4nm
11,2023-05-16 16:11:00+00:00,16,2.6763011362618272e-08,3.494498557188308e-08,8.181973321086389e-09,False,0.05-0.4nm
12,2023-05-16 16:12:00+00:00,16,2.7150699466460537e-08,3.548306182210581e-08,8.332360579288434e-09,False,0.05-0.4nm
13,2023-05-16 16:13:00+00:00,16,2.6184707735410484e-08,3.476571563965081e-08,8.581007016061903e-09,False,0.05-0.4nm
14,2023-05-16 16:14:00+00:00,16,2.8382441286112225e-08,3.731665287887154e-08,8.934208928224052e-09,False,0.05-0.4nm
15,2023-05-16 16:15:00+00:00,16,2.8773989413366508e-08,3.771399903484962e-08,8.940010509661533e-09,False,0.05-0.4nm
16,2023-05-16 16:16:00+00:00,16,2.7967139715201483e-08,3.668661108235938e-08,8.719473143514733e-09,False,0.05-0.4nm
17,2023-05-16 16:17:00+00:00,16,2.627896655837958e-08,3.594766440073727e-08,9.668697842357687e-09,False,0.05-0.4nm
18,2023-05-16 16:18:00+00:00,16,2.6923530072053836e-08,3.639920720388545e-08,9.475678908188456e-09,False,0.05-0.4nm
